"gene","ensembl_id","stat","log2FoldChange"
"BAG3","ENSG00000151929",0.000114609429688805,-0.737219826744214
"NMD3","ENSG00000169251",0.000127677836952615,0.494882555684756
"SQSTM1","ENSG00000161011",0.000142742202133456,-0.553798020896593
"ABAT","ENSG00000183044",0.00015254939770476,0.946063640857611
"IQGAP3","ENSG00000183856",0.000153823350794922,1.76633951300778
"TMSB4X","ENSG00000205542",0.000157182050457318,-0.531533618022279
"UGT1A8","ENSG00000242366",0.000157530683526133,-1.69625000152626
"H1-5","ENSG00000184357",0.000158081880216612,1.16744981378009
"DOK7","ENSG00000175920",0.000158686010021859,1.15829387211536
"YPEL3","ENSG00000090238",0.000161093086538583,-0.558120726046329
"MSMO1","ENSG00000052802",0.00016799904300286,0.511490638216324
"CA5B","ENSG00000169239",0.000168148642263058,-0.952040700846914
"PDIA6","ENSG00000143870",0.000171870178972472,0.526955922718297
"PRPF38B","ENSG00000134186",0.000171870178972472,-0.689629297076917
"ATP5MG","ENSG00000167283",0.000184614257799147,-0.590896226617539
"HPRT1","ENSG00000165704",0.000184614257799147,0.764184915384025
"ENTPD8","ENSG00000188833",0.000184614257799147,1.31891976942195
"SAP18","ENSG00000150459",0.000184614257799147,-0.596584011946016
"RAB12","ENSG00000206418",0.000194563649236886,-0.746728206959241
"SCAF1","ENSG00000126461",0.000198346432555231,-0.58589637094049
"SCAMP1","ENSG00000085365",0.000211989332102326,-0.649288552722081
"THSD4","ENSG00000187720",0.000221341438009194,1.0956806401978
"ATP6V0C","ENSG00000185883",0.000222443208835606,-0.730903087822558
"NUSAP1","ENSG00000137804",0.000222443208835606,1.20741812481418
"NPIPA5","ENSG00000183793",0.000229907477963315,0.557036471866225
"MRPL45","ENSG00000278845",0.000239698634231022,-0.773617978504176
"TENT5C","ENSG00000183508",0.000247997464928874,0.745679771404891
"PDCD10","ENSG00000114209",0.000247997464928874,-0.580730287880177
"TPBG","ENSG00000146242",0.000253886893682837,0.541874914060699
"LAD1","ENSG00000159166",0.000255245269341512,-0.548370733590175
"TMEM164","ENSG00000157600",0.00027632811456924,1.62447613052089
"ENSG00000278272","ENSG00000278272",0.000286955036400559,1.78047796164739
"PALM3","ENSG00000187867",0.00029434591505599,-1.10946016438947
"CCNA2","ENSG00000145386",0.000308361790829226,1.50999246145657
"POTEG","ENSG00000187537",0.000311492633676288,0.640509838202249
"YWHAE","ENSG00000108953",0.000321685451057958,-0.545357654229841
"CEMIP2","ENSG00000135048",0.000325053650713104,0.576206465595759
"CCNB1","ENSG00000134057",0.000328845483341572,1.06077606821619
"FAM72A","ENSG00000196550",0.000328845483341572,1.4475800792308
"GSE1","ENSG00000131149",0.000346945822566118,0.717326181542003
"KIF11","ENSG00000138160",0.000353261105195115,1.14073899339346
"CHMP2A","ENSG00000130724",0.000356185619499396,-0.671435075917415
"KITLG","ENSG00000049130",0.000356185619499396,-0.508053301989445
"UBL5","ENSG00000198258",0.000367880422312808,0.538877042598592
"KIF23","ENSG00000137807",0.000367880422312808,0.956504048195322
"H4C1","ENSG00000278637",0.000367880422312808,0.964539751559374
"PPM1K","ENSG00000163644",0.000370016007003424,0.677148076537412
"SPINT2","ENSG00000167642",0.00042493642302543,-0.529169285869963
"FDX2","ENSG00000267673",0.000433431306527732,-0.895056052608347
"IGFBP4","ENSG00000141753",0.000461809151387977,1.41078253298908
"PLXND1","ENSG00000004399",0.000486868318542214,-0.549522421296405
"ZDHHC9","ENSG00000188706",0.000508824601645602,0.633793090955182
"GINS2","ENSG00000131153",0.000535772033988381,1.60880406240219
"CAB39L","ENSG00000102547",0.000546873133358598,-0.879666792804593
"ENSG00000215271","ENSG00000215271",0.000567691112757743,1.0606578915455
"TOP2A","ENSG00000131747",0.000571204436193463,1.72806802273804
"MRPS34","ENSG00000074071",0.000577472819257918,-0.426464488058813
"SMOC2","ENSG00000112562",0.000579447254067633,1.50646070963295
"ST14","ENSG00000149418",0.000586619736568933,-0.499664715102898
"HSP90AB1","ENSG00000096384",0.000600243160202542,0.440211900927566
"ANKRD18A","ENSG00000180071",0.000600243160202542,0.73234443083089
"KIF14","ENSG00000118193",0.000608042572379692,1.39049864150492
"OS9","ENSG00000135506",0.000630404818825588,0.731060121712625
"NHERF2","ENSG00000065054",0.000630404818825588,-0.690568724841687
"CKMT1B","ENSG00000237289",0.000632398108286094,-0.739335722226756
"WASHC5","ENSG00000164961",0.000635913985212882,-0.456813263169569
"STC2","ENSG00000113739",0.000668675098113958,1.65365836310991
"FUBP1","ENSG00000162613",0.000668675098113958,0.607832041932525
"CENPN","ENSG00000166451",0.000668919290403169,0.851336667625184
"PIGP","ENSG00000185808",0.000669873214394234,-0.976546327825733
"JAK1","ENSG00000162434",0.000715732935517356,0.590992976302929
"CDT1","ENSG00000167513",0.000719177452419388,1.30800616535315
"RCCD1","ENSG00000166965",0.000723231426111147,1.01868404861304
"PSMC4","ENSG00000013275",0.000723510531405616,-0.725017322533039
"GSTM3","ENSG00000134202",0.000731450146344479,-0.792728781823438
"LRIG1","ENSG00000144749",0.000748083605262522,0.619206750491149
"POTEH","ENSG00000198062",0.000748083605262522,0.552676285817404
"FANCC","ENSG00000158169",0.000768179211390794,1.09052692390382
"TRIB3","ENSG00000101255",0.000796807076615655,-0.540861050057172
"ANLN","ENSG00000011426",0.000796807076615655,1.22416659600796
"MRPL9","ENSG00000143436",0.000796807076615655,-0.691487704083453
"PACS1","ENSG00000175115",0.000799081530706554,-0.715080319280143
"ACTB","ENSG00000075624",0.000817990873733615,-0.541787130170186
"VAMP8","ENSG00000118640",0.000818291300710746,-0.406492220988669
"PSMA3","ENSG00000100567",0.000849997534041412,-0.434526056695755
"RMC1","ENSG00000141452",0.00090643981847087,-0.748763349422255
"SMAP1","ENSG00000112305",0.000908500538983369,-0.730143947442133
